country,years,fertility,female_percentage,0-4_female,10-14_female,25-29_female,35-39_female,50-54_female,0-4_male,10-14_male,25-29_male,35-39_male,50-54_male
Antigua and Barbuda,100,0.8828472229428946,8.864826764451084e-05,0.013964517448730398,0.0153026962149647,0.03713112911096641,-6.196130826615051e-07,6.220747235724062e-05,0.0003715222572893299,0.0007136038053597946,0.00915432122673497,0.0018956880910930786,0.0011300280980170688
Argentina,10,0.9969091580380893,0.0,3.4383252355607845e-05,0.0007083903217070891,0.0003388915557222855,5.221876187607945e-05,0.0002998003201568762,8.02157675749753e-05,0.00024273277585069,0.0006050508221940957,0.00013729674961469754,0.0005805545079699472
Argentina,20,0.9953322418737867,2.174240195073039e-08,4.9010546395719583e-05,0.0009941426697521964,0.0008687027008854805,5.37281449200127e-05,0.00034874819496577867,0.00011592266911788403,0.00023304841937431248,0.0005946354126627443,0.00020128861840705133,0.001192448281282739
Argentina,50,0.9933491130738481,9.099959567025707e-05,0.00011084045505560389,0.0029852227197846837,0.0008701770094009636,2.1218386947133683e-05,9.927761816943986e-05,6.766268250563814e-05,0.000178075154738578,0.00048074663372228433,0.00014930858758645856,0.0014815630386039345
Argentina,100,0.9943401167951054,0.00034230083622657483,0.00015141545160224948,0.0034690111718004768,0.0006198847467358987,2.5232358988332426e-06,9.816355406080466e-06,2.1803134967624626e-05,9.692621051039548e-05,0.00018052742660418849,3.930604325738183e-05,0.00022076510522717237
Armenia,10,0.9465290791469886,0.0,0.0024673488858274915,0.003932013741082161,0.008247039073173621,0.007722762656429683,0.0029050471074057063,0.003071109854333483,0.004663934770316431,0.011337073339881132,0.0077557098016546155,0.001322358091956174
Armenia,20,0.9140121270730598,7.006888089694092e-07,0.006575919377164085,0.007764053919084896,0.01965319211467084,0.008934482708791564,0.003447904896939666,0.008757641229911564,0.005509813962928471,0.008434603123336182,0.014844135173819934,0.0010421689551383469
Armenia,50,0.8905711593040169,0.0005304221208939939,0.016461988063303616,0.03715571053213109,0.02319511667547255,0.002566354486841155,0.0008322089138624796,0.003797236756485645,0.0042041155627501854,0.005103210784083636,0.00502252708576905,0.0015025056709890247
Armenia,100,0.8517205514570726,0.002094155163215843,0.026036048245254854,0.05316504062169635,0.019299035856369978,0.0003071556401637814,7.654518107067135e-05,0.000889593048452886,0.0017518647946599296,0.0019309342239738484,0.0008636230991490576,0.0001534778857821616
Aruba,10,0.8664454387567528,0.0,0.0032051895676397826,0.029454279499433293,0.026436618564944586,0.009948687843511989,0.00849903979802542,0.003430128994596285,0.026802938280797918,0.015903043745084323,0.0042838130841968275,0.005507350427275628
Aruba,20,0.8170641589103701,9.308972964362372e-07,0.009178795827596519,0.028425989442652767,0.0739649700637606,0.010177185122761305,0.006220071549209584,0.008712916215737887,0.01899976455160191,0.01748913956934865,0.0038741842669973133,0.0029916076705089716
Aruba,50,0.6951428430790693,5.9935115689876734e-05,0.0205687917546188,0.14387390578260775,0.0651358130429219,0.002622923894909256,0.0007010222067613946,0.004951712593050108,0.0176216045860728,0.006956042647564326,0.0015676896078336948,0.0033821000682723594
Aruba,100,0.5718643866615347,0.0002597477693648602,0.03079833471705998,0.18104309771225638,0.04907215895418518,0.00022870423059904337,4.741024742402001e-05,0.0011200993868976153,0.0070388755534541115,0.002741451420628717,0.00041043786631437005,0.00021559140700601657
ASIA,10,0.9972831290076314,0.0,0.0006595910121266775,3.0497342554203932e-05,7.108879315870147e-05,0.00014764025414263962,0.000313056726656139,0.0007144275310188259,3.4002714356228716e-05,0.00010251024589539232,0.00016852286980527107,0.00047220405584356203
ASIA,20,0.9946883426389137,5.778439042179211e-08,0.0015581411883515298,5.179571507806815e-05,0.000254429789786307,0.00016110675940506146,0.0003076531010671983,0.0017283224231017895,3.536187135383192e-05,0.00011725781130081165,0.00022034063560525674,0.0007498282853891007
ASIA,50,0.992090156820423,5.709935882750199e-05,0.0041637008651403675,0.0002255952015260001,0.0002774586078935192,4.903398432982823e-05,5.730701148556868e-05,0.000971045587115108,2.934299821981597e-05,7.841271304200347e-05,0.00015861940066204391,0.0011632994120947006
ASIA,100,0.9888115894078918,0.00023320649888075026,0.006743884485895509,0.0003295679721804527,0.0002483512987490893,6.906530834253908e-06,5.773861122404579e-06,0.0003262518615403519,2.0217610026927874e-05,4.2890718298452156e-05,5.656070504096255e-05,0.00015933658640138624
Australia,10,0.9848546050062456,0.0,0.0006092631630888226,0.0007631067487111262,0.003591058294051594,0.001739512189444063,0.00036912673118395497,0.0006964375928919727,0.0012266369648470537,0.003507475422104582,0.0018479063473848414,0.0007714691553700181
