country,fertility,female_percentage,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,70-74_female,75-79_female,80-84_female,85-89_female,90-94_female,95-99_female,0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,70-74_male,75-79_male,80-84_male,85-89_male,90-94_male,95-99_male
Jersey,"[1.1817991777576475, 2.386342376052385]","[0.47974549310710496, 0.5106679960119641]","[0.9126403123474865, 1.042753313381787]","[0.9888403687530325, 1.0876643706950533]","[1.0390840900118437, 1.3126538650910882]","[1.0597333333333334, 1.5402621722846441]","[0.9637115296279284, 1.2896825396825398]","[0.9468984962406015, 1.1718181818181819]","[0.9663116175377756, 1.087144790257104]","[0.9834710743801653, 1.0633015006821283]","[0.9801449732114718, 1.0660705414803775]","[0.9648484848484848, 1.0518867924528301]","[0.919127669241254, 1.048891129032258]","[0.9315992292870906, 1.0225390984360625]","[0.8727865796831314, 0.9562389118864577]","[0.8597230583985551, 0.9370860927152318]","[0.7820240622788394, 0.9012686155543298]","[0.646095717884131, 0.821072319201995]","[0.49707602339181284, 0.6995391705069124]","[0.30864197530864196, 0.5336856010568032]","[0.15789473684210525, 0.375]","[0.0, 0.24031007751937986]","[0.8910843373493976, 1.0437864887406172]","[0.9745762711864406, 1.0850102669404518]","[1.0360059391239793, 1.2251388187783947]","[1.0634751773049644, 1.550125944584383]","[1.002288911495422, 1.3169628432956382]","[0.9315589353612167, 1.232592159157402]","[0.9534789644012945, 1.1188491529981177]","[0.9600210415570752, 1.0733652312599682]","[0.9494068387997209, 1.0360923965351299]","[0.9403522818254604, 1.0032007315957934]","[0.9299303944315546, 1.0255072463768116]","[0.8888888888888888, 0.9634085213032582]","[0.8225806451612904, 0.9220730797912006]","[0.7744082840236687, 0.8929950358521788]","[0.6635021097046413, 0.8361075544174136]","[0.5490506329113924, 0.7326549491211841]","[0.3973509933774834, 0.5948644793152639]","[0.24050632911392406, 0.4117647058823529]","[0.1111111111111111, 0.3111111111111111]","[0.0, 0.125]"
Jordan,"[2.7887028483224263, 6.885342275327101]","[0.48305770935720765, 0.49047275126209877]","[0.9483602236787826, 1.3009346235848065]","[0.959625637099722, 1.299045255425015]","[0.9590667820946684, 1.2542077560021636]","[0.956037116016368, 1.2365739791492516]","[0.9535103368664078, 1.2585262034512685]","[0.9513213313951321, 1.2861140650361]","[0.9481107579817619, 1.3052024105272115]","[0.9457813928863648, 1.263509859764231]","[0.9399799410769134, 1.214353329775128]","[0.9299183143751432, 1.1629096943714563]","[0.9163618864292589, 1.142548928956696]","[0.8918026418026418, 1.0909915356711004]","[0.8514313129697745, 1.0162434652725916]","[0.7894360441356764, 0.9582787161529531]","[0.6920379839298758, 0.882921831267493]","[0.5566410309706922, 0.7596657341654114]","[0.4076585560430794, 0.5945277149321267]","[0.2653288740245262, 0.4142043431826273]","[0.1320754716981132, 0.24818001323626737]","[0.0, 0.13559322033898305]","[0.9496444193972573, 1.2734523544953946]","[0.9596494312373437, 1.2765427215189873]","[0.9589761890929613, 1.2556850469059986]","[0.9426634858156988, 1.3382351812677615]","[0.9284700229332751, 1.4157907113462669]","[0.9354575730243531, 1.4097100131352935]","[0.9435032286057018, 1.422243932295958]","[0.9448825954472128, 1.3339585756147174]","[0.9367812595071494, 1.2473110151668083]","[0.9225375350602211, 1.1470662090901482]","[0.9008339087480746, 1.114327062228654]","[0.8676363636363637, 1.0598922440796892]","[0.8194444444444444, 0.9817757009345794]","[0.7517160227495587, 0.9043701106015646]","[0.6505209038019213, 0.8058871130892171]","[0.5194544725230645, 0.6619487850773133]","[0.37099358974358976, 0.4850199424914201]","[0.23047375160051217, 0.30430879712746856]","[0.11290322580645161, 0.16272189349112426]","[0.0, 0.07692307692307693]"
Kazakhstan,"[1.9128255126845368, 3.9884172390033563]","[0.48456269387799805, 0.5013830300443682]","[0.8743707300032597, 1.015493036452261]","[0.8695571107424428, 1.0563297283666064]","[0.8587889387247798, 1.0497017973523837]","[0.8591646686359964, 1.131774675934764]","[0.8883294707226752, 1.1248189264424135]","[0.8804974522030949, 1.133258806159038]","[0.8597619934560976, 1.1173576002696326]","[0.8580528008451136, 1.0524302203989704]","[0.8623782187840078, 1.0600597912103724]","[0.8551048475879665, 1.0315199293526756]","[0.8694533438870252, 1.037444207573372]","[0.8244749030130056, 0.9987501656977295]","[0.773078117746078, 0.9253651388867006]","[0.7355822522108767, 0.8615908472849422]","[0.6658926953662383, 0.7634955044600021]","[0.5643226194313994, 0.6488410896895805]","[0.41645031011106304, 0.4894415549815242]","[0.25904100241920475, 0.3281792509606037]","[0.14050884724112658, 0.2122704881325571]","[0.06904577191621412, 0.17536534446764093]","[0.8408434077320612, 0.9984180460658107]","[0.8730616388060991, 1.0080861604903766]","[0.8644115563802512, 1.0476330390054414]","[0.8574799332293903, 1.1128373458556737]","[0.861219907947789, 1.0932552233457458]","[0.8468936508669418, 1.15845812503823]","[0.8238520176159007, 1.1350171232876711]","[0.8061405677552763, 1.0486638660183145]","[0.8039350222500883, 1.072474893081138]","[0.7914226149111486, 0.967744633398383]","[0.7857430486703054, 0.94143209820875]","[0.7602057713795782, 0.9159918605137354]","[0.6927812572488982, 0.865960648997871]","[0.6461679106765593, 0.7868413789793249]","[0.5806800108033491, 0.6849459769421138]","[0.4467007392534453, 0.549952928750201]","[0.28851101912965654, 0.40546471733687756]","[0.1560395472130678, 0.2700588730025231]","[0.07662588538312942, 0.2653247941445563]","[0.033707865168539325, 0.34210526315789475]"
Kenya,"[3.296783539800367, 7.1160407415549205]","[0.47793050925970354, 0.5000717133534966]","[0.8811167877749121, 0.9863136909480781]","[0.9658724700679969, 0.9945715309977599]","[0.9719351524491584, 0.9927729016632373]","[0.9379752014997098, 0.9881895707591661]","[0.9116207006014585, 0.9811025117515787]","[0.9098255805203991, 0.9762747456566199]","[0.9199607385700873, 0.971208365387355]","[0.9303614592589371, 0.9655936987136972]","[0.9262660731477157, 0.9595607147062651]","[0.9168666110563434, 0.952519439172228]","[0.9012255965292841, 0.9494143055566706]","[0.8717964908403514, 0.9650803780350685]","[0.8255739660092857, 0.9677083046466523]","[0.7424346159112694, 0.9277325729893715]","[0.6322303954832931, 0.8565050783139254]","[0.5081675194239151, 0.7935566552230569]","[0.37143044275609116, 0.7221414505769549]","[0.24756542909312235, 0.6831586952847727]","[0.08973384030418251, 0.8003239581799441]","[0.00980392156862745, 1.330038022813688]","[0.869408509258857, 0.9816236865340291]","[0.9639268703344078, 0.9924092456526186]","[0.9690470270560309, 0.9915615657041172]","[0.9386348814608322, 0.9862553398301039]","[0.9131906242525711, 0.9792896349424531]","[0.9072329224481466, 0.9747183904356593]","[0.9028635696341792, 0.9674807885780337]","[0.9083705559493003, 0.9586493585983525]","[0.9097791522386832, 0.9483202889825406]","[0.897387336853123, 0.9335124311035331]","[0.8763035807203418, 0.9259318803453156]","[0.8407240081088908, 0.9296966325249936]","[0.7930424487716907, 0.9078651685393259]","[0.7190983606557377, 0.8756413233958997]","[0.6023474084048476, 0.7970921485907861]","[0.4716152122675823, 0.7178002894356006]","[0.3371610845295056, 0.6356586929151883]","[0.2225634178905207, 0.5912598110948517]","[0.061619718309859156, 0.6868282929267683]","[0.014705882352941176, 1.0288753799392096]"
Kiribati,"[3.1266826133858636, 5.527303754266212]","[0.4827834309795457, 0.49743843992728476]","[0.8143394556317769, 1.0290271132376396]","[0.9113924050632911, 0.9990116135408945]","[0.8711352955725946, 1.02349298852668]","[0.8672849376399104, 0.9870824875438273]","[0.8320610687022901, 1.011253598534415]","[0.844411619891679, 1.0144061841180605]","[0.8794084186575654, 0.9978172747115684]","[0.8096166341780376, 0.9678195488721805]","[0.8577810871183916, 1.006568144499179]","[0.8401305057096248, 0.9818897637795275]","[0.7603864734299517, 0.9192618223760092]","[0.794228356336261, 0.9703947368421053]","[0.7087378640776699, 0.9362445414847161]","[0.6576923076923077, 0.9649122807017544]","[0.43902439024390244, 0.7735294117647059]","[0.4146341463414634, 0.6652892561983471]","[0.31297709923664124, 0.5602836879432624]","[0.15384615384615385, 0.41509433962264153]","[0.05555555555555555, 0.2857142857142857]","[0.0, 0.0]","[0.8132631578947368, 1.0051406108255216]","[0.903448275862069, 0.9852355284743379]","[0.826593720266413, 0.9998285028297033]","[0.8080733944954128, 0.9745721271393643]","[0.8555392874572962, 0.9690291840381179]","[0.9023760330578512, 0.9909255898366606]","[0.9049689440993789, 0.998211091234347]","[0.7928621413575927, 0.9636109167249826]","[0.8839487565938207, 0.9735216240070609]","[0.7643530419880035, 0.9538310412573674]","[0.7312820512820513, 0.8928571428571429]","[0.7764390896921017, 0.9008746355685131]","[0.6601941747572816, 0.8184438040345822]","[0.6385767790262172, 0.7943262411347518]","[0.4065281899109792, 0.7132352941176471]","[0.3463687150837989, 0.6424581005586593]","[0.25842696629213485, 0.49]","[0.08695652173913043, 0.34375]","[0.0, 0.14285714285714285]","[0.0, 0.0]"
Kosovo (under UNSC res. 1244),"[1.5790048847824032, 5.678422629924713]","[0.4793344298011406, 0.4874555850825595]","[0.8941187712006116, 1.0861654695671168]","[0.9294281590603692, 1.0272804372408595]","[0.8223190121786198, 0.9988520578420467]","[0.6022664504748498, 0.9954458022176963]","[0.5457645420704157, 1.0043020584235944]","[0.5809883934667297, 1.074507689975237]","[0.6566593886462883, 1.0680915516661056]","[0.7217487466823945, 1.0221578076929916]","[0.7676746806912096, 1.0184318966477337]","[0.8119187358916479, 1.00011540015002]","[0.8383044208170117, 0.9715012873250274]","[0.8586849560161026, 0.999329837978476]","[0.8115363244895124, 0.9491107936351545]","[0.7342853655559624, 0.9283120278907612]","[0.6491695714578635, 0.8481040686410185]","[0.5092297899427116, 0.7629583784620145]","[0.34890219560878244, 0.6693147964250248]","[0.20507166482910694, 0.5311913206759858]","[0.034530386740331494, 0.34159378036929056]","[0.0, 0.20136518771331058]","[0.8993450595481088, 1.069083711499469]","[0.926650132393995, 1.0195398570581722]","[0.8296614681197545, 0.9970774517400532]","[0.6379584648499647, 0.9955845709159773]","[0.5768948939288331, 0.9978402642500211]","[0.5999187613033008, 0.9923205304585129]","[0.6635203462056479, 0.9911566339238239]","[0.7150035118050678, 0.9869660440519221]","[0.7500475391982299, 1.015443814674224]","[0.7767963714490331, 0.9738175675675675]","[0.7949187770059618, 0.9563698756051229]","[0.8085901306154168, 0.9736074049366245]","[0.7909697796281674, 0.954055619930475]","[0.73345961304289, 0.880126953125]","[0.6187232386142468, 0.7853604286725305]","[0.46790205162144277, 0.6612743479696269]","[0.32547864506627394, 0.5669262143121987]","[0.18794688457609807, 0.4274543874891399]","[0.010822510822510822, 0.3024523160762943]","[0.0, 0.20833333333333334]"
Kuwait,"[1.8555942214997225, 5.989368429373172]","[0.4650094389009629, 0.49204529117004525]","[0.5823021732348965, 1.3714661219125441]","[0.5188249523907561, 1.2166762402878133]","[0.5153663090835866, 1.709386537915365]","[0.5920123945601653, 1.6922913569760034]","[0.5547002947920079, 1.768891680717647]","[0.580772251951495, 1.6675524062592264]","[0.612025205671276, 1.4421831637372804]","[0.6082595419847329, 1.3937114939187352]","[0.5401712409101571, 1.298324478953821]","[0.5090702947845805, 1.2202797202797202]","[0.512868775318139, 1.193842287150487]","[0.4910158334815869, 1.1161892500804635]","[0.4625315745158574, 1.153717627401838]","[0.4800832342449465, 1.0774125132555674]","[0.4697113109323237, 1.0378657487091223]","[0.44667059516794344, 0.9605687203791469]","[0.3044806517311609, 0.658311345646438]","[0.20866141732283464, 0.45484949832775917]","[0.0, 0.25471698113207547]","[0.0, 0.1320754716981132]","[0.5816617565146197, 1.3694331565534816]","[0.5211250934462995, 1.3512529449560933]","[0.507641836856815, 2.123625557206538]","[0.5581761198034171, 2.2833827893175074]","[0.48308373803669763, 2.621244893054554]","[0.5253543231809816, 2.700765542188946]","[0.5877829171012093, 1.6380055502479414]","[0.6242760815710465, 1.6055722197182807]","[0.5487118345342388, 1.3199128884049356]","[0.5115753475578024, 1.2976568736402199]","[0.5028346610625092, 1.2810649871170914]","[0.45286534018928387, 1.2524221000261848]","[0.37652370203160274, 1.2039972180533693]","[0.38934190880900427, 1.0217861780406867]","[0.46863647372245093, 1.196614015184571]","[0.4255479969765684, 1.009639303482587]","[0.24689655172413794, 0.5683836589698046]","[0.17455621301775148, 0.3687150837988827]","[0.0, 0.2033898305084746]","[0.0, 0.1111111111111111]"
Kyrgyzstan,"[2.5477882102876235, 4.594214170744618]","[0.48157666776742425, 0.5031309936219629]","[0.9666753239774671, 0.9915260008756142]","[0.9581740373033271, 1.0076361558197315]","[0.9409150266901877, 1.0365976884213441]","[0.9236348482668638, 1.142551571032717]","[0.9281316108958468, 1.126914948081442]","[0.9091228004527723, 1.0806896397103334]","[0.895086635162971, 1.0468158907376295]","[0.8541126943005182, 1.0305157109070247]","[0.8191258211217787, 1.0190682876466994]","[0.8232498248404628, 0.9896844532969913]","[0.8538555234886809, 0.958448551884733]","[0.8041410764725699, 0.9525739764896636]","[0.7756516845309662, 0.9864285865045695]","[0.7106323314506892, 0.9136099199737798]","[0.6496706073459074, 0.8114749617319047]","[0.539730340154678, 0.6651251793972254]","[0.39113945871401484, 0.4741344195519348]","[0.24085138162808065, 0.31822125813449026]","[0.12942477876106195, 0.19759450171821305]","[0.02962962962962963, 0.15306122448979592]","[0.9305651891386725, 0.9862286070407006]","[0.9256246933802571, 1.0010082918739636]","[0.9153320291033785, 1.027111521115211]","[0.8884183974411233, 1.1217709866299277]","[0.9246819569093162, 1.1105340955171557]","[0.8921756904501592, 1.0648362044309507]","[0.8817959949937422, 1.0315694658476766]","[0.8150643666006812, 1.026068535336694]","[0.792792075000664, 1.0098200135838804]","[0.7844539539246146, 0.9653670797287819]","[0.8122437991752628, 0.9168888888888889]","[0.7758311216114631, 0.8712224633909191]","[0.7602892281868362, 0.8316738744175132]","[0.6932598218197751, 0.7584806595840683]","[0.5930496229499552, 0.720021911804985]","[0.4580670153011815, 0.5921739130434782]","[0.3198005698005698, 0.38817783765577635]","[0.19037078029883786, 0.24179025423728814]","[0.07542579075425791, 0.24822695035460993]","[0.0, 0.22]"
Land-locked Developing Countries (LLDC),"[3.8025955315993545, 5.065041222150517]","[0.4909121816428719, 0.49654248791233135]","[0.8906000568322086, 0.9823445766989023]","[0.9527162124140011, 0.99233842553404]","[0.9545354942885188, 0.9912682514293774]","[0.9492137690656177, 0.9839351842606655]","[0.9406554083881521, 0.9786550508978001]","[0.933987845155798, 0.9769447107112859]","[0.9276922405598118, 0.9759135919641184]","[0.9309668591802657, 0.9733196481477242]","[0.9278539011279405, 0.9694962837320601]","[0.9231365117480245, 0.9628118720212105]","[0.9082905882127438, 0.951336202053698]","[0.8757375122666311, 0.9310569543301405]","[0.8258333387821288, 0.8931628564933033]","[0.7444643516407149, 0.830079687233425]","[0.6360922590996636, 0.7352896427741148]","[0.5117459555342162, 0.6158340655310762]","[0.37907805609290346, 0.46887206208008986]","[0.25663448925364096, 0.3398769568030196]","[0.16314905864012472, 0.2596784363177806]","[0.09851632047477744, 0.2082089552238806]","[0.883885874214788, 0.9797937224436277]","[0.9532129992085875, 0.9908888228028305]","[0.9517338658242666, 0.9886446017851228]","[0.9400374781092344, 0.9775486927286733]","[0.929862156616846, 0.9719393273280936]","[0.9264186585915087, 0.9710516002732706]","[0.9174873190567426, 0.9685827113707118]","[0.9139091390617469, 0.9636595897046579]","[0.9072621418480865, 0.9556290470653886]","[0.8920668516387733, 0.9430939853935382]","[0.8694677050100893, 0.9235256657959834]","[0.8287111677649609, 0.8927667349069173]","[0.77501659132882, 0.8447956328271939]","[0.699887050538126, 0.775736355424772]","[0.5862230233874957, 0.6733500171848575]","[0.4580665620723036, 0.5426837788163977]","[0.32124792586832973, 0.41514385493227346]","[0.20933550754178556, 0.31090641665091745]","[0.13947503860010294, 0.2775636695935476]","[0.09762363519588953, 0.21859198755348114]"
Lao People's Democratic Republic,"[2.524676744635855, 5.18394675683271]","[0.48923458759916677, 0.512403185338715]","[0.9016577251696046, 0.9892771800118819]","[0.9595863833931689, 0.9957098589494557]","[0.9479830657400751, 0.9914735607794963]","[0.9077857537272225, 0.9824599502196683]","[0.8827845409759969, 0.9783943082855151]","[0.8834887293251884, 0.9791367965589636]","[0.8929284257967594, 0.9797114789720683]","[0.9029957386001174, 0.9786490019724959]","[0.9101449275362319, 0.9819759245201172]","[0.9082241750953407, 0.9791154323478579]","[0.8775157459178462, 0.9576685381912187]","[0.8600635446884929, 0.9344125086226719]","[0.8028328990445647, 0.8974029925780889]","[0.7260733452593918, 0.8349646998101348]","[0.6142492711370262, 0.7693037674374467]","[0.4859092257490359, 0.6955970996767712]","[0.3333333333333333, 0.6454221694613445]","[0.16666666666666666, 0.727051177904143]","[0.0, 1.3170731707317074]","[0.0, 2.378787878787879]","[0.8974454196810524, 0.9873667447686861]","[0.959814174251948, 0.9945012029434891]","[0.9361399433470866, 0.9905256180174936]","[0.9138081664147742, 0.9808203105026764]","[0.8857430924686224, 0.9817769310199392]","[0.8781752104055088, 0.9876588860642478]","[0.8843974571586511, 0.9866437936527387]","[0.8914675041251929, 0.9786596938129982]","[0.8927050546195149, 0.968320405085111]","[0.885341846235701, 0.9576427255985267]","[0.8659726328237182, 0.9390765166663609]","[0.8317954884073503, 0.9074405522884172]","[0.7713598074608905, 0.8570098843136386]","[0.6912482377182518, 0.7999209774481795]","[0.576702737110121, 0.7429485186336783]","[0.4425952045133992, 0.693126079447323]","[0.293801652892562, 0.6858983745790013]","[0.10191082802547771, 0.8183760683760684]","[0.010309278350515464, 1.5960912052117264]","[0.0, 3.55]"
Latin America and the Caribbean,"[1.9185932848902147, 5.005413210803869]","[0.48995708684055145, 0.49429836753977685]","[0.9346224089513597, 0.9961727664217117]","[0.9854364717841176, 0.9966336076855162]","[0.9831632005518742, 0.9933616704603486]","[0.9746254305777952, 0.9903320475916289]","[0.9636394998092179, 0.9884653323943671]","[0.9591890280359853, 0.9901156730347216]","[0.9614287762405596, 0.9914993834037286]","[0.9556987439977856, 0.9904224450097048]","[0.9463620307475589, 0.9876926402923303]","[0.9347498621421997, 0.9841050991036849]","[0.9238715202909975, 0.9759267304506606]","[0.8927385980300858, 0.965914277901927]","[0.8439294465331164, 0.9457059251781098]","[0.7807893848208148, 0.9089315051814281]","[0.6870801866269104, 0.8553941993516424]","[0.5728831583145022, 0.765053031528221]","[0.43198936806037636, 0.6155071428117939]","[0.3121935272965021, 0.46735151878516557]","[0.19384121570790913, 0.35519194815783184]","[0.09806552610980655, 0.2805718094955929]","[0.9311077025225281, 0.9951790370174864]","[0.9812211779734239, 0.9958767334632558]","[0.9731187828558775, 0.9905520213375817]","[0.960421234422295, 0.9828179659330939]","[0.9554763204825127, 0.9796648632697045]","[0.9609720739951704, 0.9829365361446152]","[0.9614450892467779, 0.9868103698436066]","[0.9535520539845711, 0.9850967464763893]","[0.9406125702688932, 0.9786430628108682]","[0.9234370985059834, 0.9705220560897149]","[0.9056763258377915, 0.9565380347732907]","[0.8687945200831638, 0.9387018293476088]","[0.8105329311363717, 0.9087293492742338]","[0.7362045579322446, 0.862296807775678]","[0.63398380582776, 0.7934875757729705]","[0.5165813936729841, 0.6868185964911349]","[0.38409585842930294, 0.5297068891129126]","[0.27422820963120437, 0.39641767353593926]","[0.1738154413533232, 0.34168542382942935]","[0.08432678821879383, 0.29929251398303514]"
Latvia,"[1.1948811309901501, 2.0930976241414254]","[0.48098837980391557, 0.4978480607953567]","[0.9378498959696274, 1.023928646576111]","[0.9320654745008988, 1.086090565185478]","[0.9400873007816465, 1.0652423754854163]","[0.9107459375393095, 1.1234582472705812]","[0.9004168654729916, 1.0772268016702364]","[0.909958025965333, 1.0210789116076224]","[0.9329573746887843, 1.108093302703658]","[0.9359488976730919, 1.0145171663961288]","[0.9220494660543352, 1.0159834742753857]","[0.9311556725751093, 0.9998737692501893]","[0.9321061413423758, 1.0128402747639216]","[0.9129681424380927, 0.9786084215266831]","[0.8925226208339017, 0.938168416660872]","[0.8568987227918691, 0.9277635573546045]","[0.7599393855903017, 0.8699729200276561]","[0.6241755653266332, 0.7841641288668055]","[0.5063814380110431, 0.6236279747450219]","[0.33989213536419133, 0.458562874251497]","[0.17629889083479275, 0.2820369334079463]","[0.08068181818181819, 0.15467625899280577]","[0.9318709759538382, 1.0141882123524864]","[0.9406196697344005, 1.0285272152324565]","[0.9482813868535174, 1.0956906419917962]","[0.9228993016445145, 1.1129189680796787]","[0.9065739648643616, 1.1046961846966286]","[0.8989216375051576, 1.0211845174637688]","[0.9017836413740196, 1.1014552162328346]","[0.9001355527842542, 1.020552677029361]","[0.8799282285049221, 1.0203531566398285]","[0.8943577268734374, 0.9832263269353592]","[0.862552180177074, 1.003344015605406]","[0.8402446965283251, 0.9618232436915057]","[0.7817989217220825, 0.8625615670585571]","[0.7297917311062996, 0.8203646484421068]","[0.6367611052815669, 0.7382226980728052]","[0.5138253748803573, 0.6499810128767218]","[0.3868545327862507, 0.5171470382388497]","[0.24282522770235435, 0.3960777740529668]","[0.1256583897667419, 0.28373524884556184]","[0.05365853658536585, 0.19941348973607037]"
Least developed countries,"[3.7870528126342853, 5.434127639260961]","[0.49256376726762063, 0.4976809143983356]","[0.8713497312235089, 0.9812923506125503]","[0.956184849856058, 0.9924595800982545]","[0.9507716559389267, 0.9916191379049174]","[0.9608093621077848, 0.985566718674762]","[0.9490491689569694, 0.9819961611722041]","[0.9414967120326782, 0.9809136520176216]","[0.9378064786755316, 0.9801792877802066]","[0.9315677733925992, 0.9773652904330481]","[0.9251166651018875, 0.9732258240737137]","[0.9151931414458201, 0.9656536231638646]","[0.8981966705074628, 0.953590455665085]","[0.8615925480347524, 0.9334375142449317]","[0.7989895699495138, 0.8954052227102206]","[0.712282520888846, 0.8337789011258304]","[0.5901396956922735, 0.7435851803882318]","[0.4487515453696728, 0.620309584697832]","[0.3090142644241005, 0.4718243477979347]","[0.19587252305725505, 0.3276296655356277]","[0.11077277590321784, 0.24066136835834775]","[0.05544286680189317, 0.23778904414492394]","[0.8678458429120404, 0.9788236498771131]","[0.9598981101756426, 0.9911013717172186]","[0.9391055648541108, 0.989253106968744]","[0.9368311926567865, 0.9795643533160397]","[0.9333494120808814, 0.974613325928497]","[0.9324148630410954, 0.9740806615295375]","[0.9305745934016095, 0.9726281890324459]","[0.9265508396081988, 0.9688439227475436]","[0.9168368776543189, 0.9613746361398412]","[0.9011687392942608, 0.9493051400260032]","[0.8776988003037793, 0.9310963678865994]","[0.8375824840572204, 0.9034280469713692]","[0.774623530110238, 0.858451503284774]","[0.6862525518071936, 0.7902544240607681]","[0.5599063814534069, 0.6916721735471442]","[0.41727958798154186, 0.5625290081540221]","[0.27471691117280006, 0.4243159874955045]","[0.16129749393694423, 0.29906716655556453]","[0.07839298300571697, 0.21966641229695846]","[0.04591104734576758, 0.23760523854069224]"
Lebanon,"[2.0348492747697784, 5.265411698477635]","[0.48362379437085273, 0.4928285390641204]","[0.7790821682691507, 1.2414986203530542]","[0.7933505443933101, 1.242972956979703]","[0.7953296834087122, 1.24115378165353]","[0.795485017617162, 1.236511277755851]","[0.7601362761942523, 1.219365569018063]","[0.7145886908456741, 1.2302009456264775]","[0.74810180666455, 1.2341374655162294]","[0.7818653096166651, 1.2241048008296225]","[0.7769942815852093, 1.211699576173736]","[0.7694716720218001, 1.1904976489028214]","[0.762700985797278, 1.1703922304317709]","[0.742484401588202, 1.1587950036737693]","[0.6830425078624328, 1.1342231496443704]","[0.6404698921978553, 1.1209243054965594]","[0.5508012755822872, 1.0549553208773355]","[0.443855052086662, 0.9303033483782933]","[0.31903906600808263, 0.7561895392687326]","[0.209353507565337, 0.5550739418663947]","[0.10969116080937168, 0.3588896232650364]","[0.046875, 0.1875]","[0.7794851895992619, 1.2508367779717906]","[0.7923417165940837, 1.2410877449857214]","[0.7864093408201586, 1.2217593489633791]","[0.7701114106732218, 1.1850525890800927]","[0.6109481042560871, 1.181108423598696]","[0.5971433901880727, 1.179363179961492]","[0.6523828867991146, 1.1856350184956843]","[0.650537793837929, 1.1832081089837543]","[0.6915954514286766, 1.1785994760474554]","[0.7431174954162588, 1.1715150940328438]","[0.7295809270452747, 1.1554784229598027]","[0.7014741383738251, 1.1344122958542713]","[0.6392183471298684, 1.1253123145093384]","[0.5943834793333544, 1.1118404704712996]","[0.5066989737742303, 0.9787299890273753]","[0.403841497861351, 0.8349792687523558]","[0.2855606758832565, 0.6363045738045738]","[0.1703365184877441, 0.4270531400966184]","[0.08193668528864059, 0.23202614379084968]","[0.027777777777777776, 0.10344827586206896]"
Lesotho,"[2.8698208476709155, 5.110303478743431]","[0.4817815259413724, 0.4995207973931378]","[0.9073471303347312, 0.994806944161357]","[0.9561828969674139, 1.0600553743635468]","[0.9450156835743249, 1.0243733205495351]","[0.8767621199469522, 0.9846543413264994]","[0.8103832616347282, 0.9843416370106761]","[0.7835170000522275, 0.976839659178931]","[0.8119580396869215, 0.9894769808957093]","[0.8392663716976629, 1.0301661849710984]","[0.8554569100797523, 1.092272797566885]","[0.8619165976249655, 1.0384869872077636]","[0.8520079084691926, 0.9631686723330247]","[0.850387628363843, 0.9578417891003835]","[0.7921763618762651, 0.9192467554499958]","[0.6841687738608756, 0.8206558715471493]","[0.6498172959805115, 0.7275652813534388]","[0.5141459263986385, 0.6646218931782126]","[0.36760828625235403, 0.5319634703196348]","[0.23915050784856878, 0.37243589743589745]","[0.14285714285714285, 0.2314647377938517]","[0.047619047619047616, 0.13656387665198239]","[0.8969738590388606, 1.0029575653664808]","[0.9473548689138577, 1.0423352244381794]","[0.8457364968823387, 1.0633618233618234]","[0.7712335203559879, 1.1055215400739147]","[0.8384032360211648, 1.1199697324069615]","[0.81610485390196, 1.3284806776071996]","[0.8075459153993185, 1.358756351562107]","[0.8085814500378652, 1.362458956585188]","[0.787799690641918, 1.3146510893590149]","[0.8000988997403882, 1.2147229249979596]","[0.7790246007768666, 1.0934629447962187]","[0.7574332269443977, 0.9997714024459938]","[0.7164230523155667, 0.9039657316567639]","[0.6458491042139793, 0.7269407980526819]","[0.5609217945574896, 0.6354947322689258]","[0.42042755344418054, 0.5487669053301512]","[0.2866836301950806, 0.4272646798465624]","[0.17894736842105263, 0.29923664122137406]","[0.09210526315789473, 0.19113573407202217]","[0.0, 0.1346153846153846]"
