country,years,fertility,female_percentage,0-4_female,10-14_female,25-29_female,35-39_female,50-54_female,0-4_male,10-14_male,25-29_male,35-39_male,50-54_male
Senegal,10,0.951797369832374,0.0,0.01935938520235604,0.0004896782910116367,0.00126485261112876,0.00038054976127331695,0.00011719093599148523,0.01922172285220251,0.0008693092601470236,0.0057680064525815955,0.0010442641797418083,8.041843012640013e-05
Senegal,20,0.9290111550884087,6.447879793207143e-06,0.022886767970337785,0.0008597245415246604,0.005979450187348957,0.0003613826552836246,0.00013133448106174685,0.026719687648599912,0.001342012962282077,0.01070931647274808,0.002136088955459542,0.000273211916816006
Senegal,50,0.8979966811651908,0.00011015262356221259,0.05418654244678483,0.0025565981707285964,0.00660999676019844,9.999173025431119e-05,3.0626466997743916e-05,0.018707064384078757,0.000955092967439657,0.013415686473151589,0.0038316868775385006,0.0007292411379636524
Senegal,100,0.8838653931008024,0.0005331934394130612,0.07884408631457801,0.0033041089837714823,0.006106998308546373,6.25575559767652e-06,-1.3521239000715724e-06,0.01000476044395571,0.0004749608559058592,0.00652001611976862,0.002169472600656452,0.00033131296663397366
Serbia,10,0.957384981664111,0.0,0.0008750742786128426,0.0041237439896067395,0.0019041553512285344,0.009300367869281801,0.009496473697272662,0.006015846578533512,0.003244491140000481,0.0013255172087834946,0.006593283220490335,0.0008007390979729587
Serbia,20,0.9461410014452603,1.3383924503089074e-05,0.001556208347992204,0.007295510071617645,0.0043459539450255045,0.009628665980281064,0.011478646599605213,0.008655342955418564,0.0033059553219572115,0.0009740789162121996,0.006588766383823518,0.001260698601614305
Serbia,50,0.9553097156673838,0.0006834871023884005,0.0032859610990793988,0.02094873917055591,0.004554626405084348,0.0034244794118870755,0.0015185310323380017,0.00422663912201223,0.0016751380686581287,0.0005182303904828775,0.002461497560183161,0.0004884730631299205
Serbia,100,0.9533689075451506,0.002419883217886959,0.004516806791227816,0.025003330303859247,0.0030474858229977055,0.000415723555883106,7.423921128322462e-05,0.00187516576154139,0.0005730468550514263,0.00018189601081437353,0.0006178450574386938,1.61824479460453e-05
Seychelles,10,0.9811184395597585,0.0,0.0024401425546589197,0.0007022152721713523,0.0016727560326561966,0.0003920994426277965,0.00033222611460308557,0.0016271370390854762,0.0015228085750907552,0.005567895754069529,0.004010643608234728,0.00135840332589249
Seychelles,20,0.9707411245586187,2.4621494218145083e-06,0.00441572758217984,0.001238340419082221,0.005600657186459803,0.00040338385426303607,0.00038020580770117303,0.003630662493906811,0.0017909964145441247,0.003825311547300818,0.005876558026082594,0.0028771108084523355
Seychelles,50,0.9554318427011663,0.00010664595994805055,0.012019897973481646,0.00550773404994836,0.00650371058109454,0.00011948576820789665,5.0170236189138684e-05,0.0020666401814891594,0.0014603715663460306,0.0033744813975145173,0.0043374217873440955,0.006789763744048286
Seychelles,100,0.9458471549256717,0.00042398826726753014,0.01810647438390985,0.007951671985355558,0.006121882250026671,8.905692593323598e-06,-1.1931674389784335e-05,0.0016960886557547458,0.001060964014834425,0.0024291699361616466,0.001818707244991159,0.0004801593105769609
Sierra Leone,10,0.7462804801379945,0.0,0.054332606469111734,0.039578546244264656,0.016837856034436036,0.008336735170954363,0.0025866437257040455,0.06097382696074512,0.04262733055208299,0.018389386780248193,0.008816505856185401,0.0023283456968710013
